formulario,codigo_pregunta,variable,seccion_numero,seccion_titulo,pregunta,tipo_campo,obligatoria,nivel_dato,numero_respuesta,valor_respuesta,etiqueta_respuesta
Formulario de Vivienda,V001,viv_codigo,1,Información general,Código,texto,no,encuesta,,"",""
Formulario de Vivienda,V002,viv_ficha_no,1,Información general,Ficha No.,texto,no,encuesta,,"",""
Formulario de Vivienda,V003,viv_alcaldia_gobernacion,1,Información general,Alcaldía / Gobernación,texto,no,encuesta,,"",""
Formulario de Vivienda,V004,viv_prof_nombre,1,Información general,Nombre del profesional responsable de la inspección y evaluación,texto,sí,encuesta,,"",""
Formulario de Vivienda,V005,viv_prof_tarjeta,1,Información general,Tarjeta profesional,texto,no,encuesta,,"",""
Formulario de Vivienda,V006,viv_prof_profesion,1,Información general,Profesión,texto,no,encuesta,,"",""
Formulario de Vivienda,V007,viv_prof_cc,1,Información general,C.C. No. (del profesional),texto,no,encuesta,,"",""
Formulario de Vivienda,V008,viv_prof_cc_de,1,Información general,De (lugar de expedición),texto,no,encuesta,,"",""
Formulario de Vivienda,V009,viv_prof_telefono,1,Información general,Teléfono,texto,no,encuesta,,"",""
Formulario de Vivienda,V010,viv_prof_direccion,1,Información general,Dirección,texto,no,encuesta,,"",""
Formulario de Vivienda,V011,viv_fecha_evaluacion,1,Información general,Fecha de evaluación,fecha,sí,encuesta,,"",""
Formulario de Vivienda,V012,viv_prop_nombres_apellidos,1,Información general,Nombres y apellidos,texto,sí,encuesta,,"",""
Formulario de Vivienda,V013,viv_prop_cc,1,Información general,C.C. No.,texto,no,encuesta,,"",""
Formulario de Vivienda,V014,viv_prop_cc_de,1,Información general,De (lugar de expedición),texto,no,encuesta,,"",""
Formulario de Vivienda,V015,viv_prop_telefono,1,Información general,Teléfono,texto,no,encuesta,,"",""
Formulario de Vivienda,V016,viv_prop_direccion,1,Información general,Dirección,texto,no,encuesta,,"",""
Formulario de Vivienda,V017,viv_departamento,2,Localización de la vivienda,Departamento,texto,no,encuesta,,"",""
Formulario de Vivienda,V018,viv_municipio,2,Localización de la vivienda,Municipio,texto,no,encuesta,,"",""
Formulario de Vivienda,V019,tipo_via,2,Localización de la vivienda,Tipo de vía,texto,no,encuesta,,"",""
Formulario de Vivienda,V020,numero_via,2,Localización de la vivienda,Número de la vía,texto,no,encuesta,,"",""
Formulario de Vivienda,V021,sufijo_via,2,Localización de la vivienda,Sufijo de la vía,texto,no,encuesta,,"",""
Formulario de Vivienda,V022,sufijo_via_otro,2,Localización de la vivienda,Sufijo de la vía (otro),texto,no,encuesta,,"",""
Formulario de Vivienda,V023,numero_generador,2,Localización de la vivienda,Número generador o cruce,texto,no,encuesta,,"",""
Formulario de Vivienda,V024,placa_inmueble,2,Localización de la vivienda,Placa del inmueble,texto,no,encuesta,,"",""
Formulario de Vivienda,V025,tipo_inmueble,2,Localización de la vivienda,Tipo de inmueble,texto,no,encuesta,,"",""
Formulario de Vivienda,V026,nombre_conjunto,2,Localización de la vivienda,Nombre del conjunto,texto,no,encuesta,,"",""
Formulario de Vivienda,V027,tipo_unidad,2,Localización de la vivienda,Tipo de unidad,texto,no,encuesta,,"",""
Formulario de Vivienda,V028,numero_unidad,2,Localización de la vivienda,Número de apartamento o casa,texto,no,encuesta,,"",""
Formulario de Vivienda,V029,torre_bloque,2,Localización de la vivienda,Torre o bloque,texto,no,encuesta,,"",""
Formulario de Vivienda,V030,direccion_completa,2,Localización de la vivienda,Dirección completa,derivado,no,encuesta,,"",""
Formulario de Vivienda,V031,latitud,2,Localización de la vivienda,Latitud,derivado,no,encuesta,,"",""
Formulario de Vivienda,V032,longitud,2,Localización de la vivienda,Longitud,derivado,no,encuesta,,"",""
Formulario de Vivienda,V033,sistema_coordenadas,2,Localización de la vivienda,Sistema de coordenadas,derivado,no,encuesta,,"",""
Formulario de Vivienda,V034,fuente_georreferenciacion,2,Localización de la vivienda,Fuente de la georreferenciación,derivado,no,encuesta,,"",""
Formulario de Vivienda,V035,precision_gps_m,2,Localización de la vivienda,Precisión del GPS (m),derivado,no,encuesta,,"",""
Formulario de Vivienda,V036,direccion_geocodificada,2,Localización de la vivienda,Dirección devuelta por geocodificación,derivado,no,encuesta,,"",""
Formulario de Vivienda,V037,fecha_georreferenciacion,2,Localización de la vivienda,Fecha de la georreferenciación,derivado,no,encuesta,,"",""
Formulario de Vivienda,V038,ubicacion_confirmada,2,Localización de la vivienda,¿El diligenciador confirmó la ubicación?,derivado,no,encuesta,,"",""
Formulario de Vivienda,V039,fecha_confirmacion_ubicacion,2,Localización de la vivienda,Fecha de confirmación de la ubicación,derivado,no,encuesta,,"",""
Formulario de Vivienda,V040,viv_corregimiento,2,Localización de la vivienda,Corregimiento,texto,no,encuesta,,"",""
Formulario de Vivienda,V041,viv_vereda,2,Localización de la vivienda,Vereda,texto,no,encuesta,,"",""
Formulario de Vivienda,V042,viv_req_no_beneficiario,3,Requisitos del propietario para recibir el apoyo en banco de materiales,No haber sido beneficiario del mismo programa o de algún otro programa de gobierno relacionado con la rehabilitación o construcción total de viviendas por ese mismo evento,unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V042,viv_req_no_beneficiario,3,Requisitos del propietario para recibir el apoyo en banco de materiales,No haber sido beneficiario del mismo programa o de algún otro programa de gobierno relacionado con la rehabilitación o construcción total de viviendas por ese mismo evento,unica,no,encuesta,2,no,No
Formulario de Vivienda,V043,viv_req_propietario,3,Requisitos del propietario para recibir el apoyo en banco de materiales,"Ser el propietario de la vivienda afectada o del lote destinado para la construcción de vivienda nueva (presentar escritura pública, certificado de compra-venta o sana posesión; los arrendatarios no son beneficiarios)",unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V043,viv_req_propietario,3,Requisitos del propietario para recibir el apoyo en banco de materiales,"Ser el propietario de la vivienda afectada o del lote destinado para la construcción de vivienda nueva (presentar escritura pública, certificado de compra-venta o sana posesión; los arrendatarios no son beneficiarios)",unica,no,encuesta,2,no,No
Formulario de Vivienda,V044,viv_req_certificacion_alcaldia,3,Requisitos del propietario para recibir el apoyo en banco de materiales,"Certificación de la Alcaldía de que el predio no se encuentra en zona de alto riesgo no mitigable ni de infraestructura básica a nivel nacional, regional o municipal",unica,no,encuesta,1,si,Sí
Formulario de Vivienda,V044,viv_req_certificacion_alcaldia,3,Requisitos del propietario para recibir el apoyo en banco de materiales,"Certificación de la Alcaldía de que el predio no se encuentra en zona de alto riesgo no mitigable ni de infraestructura básica a nivel nacional, regional o municipal",unica,no,encuesta,2,no,No
Formulario de Vivienda,V045,viv_cumple_requisitos,4,El afectado cumple con los requisitos para la auto-reparación de la vivienda,¿Cumple los requisitos?,unica,sí,encuesta,1,si,Sí
Formulario de Vivienda,V045,viv_cumple_requisitos,4,El afectado cumple con los requisitos para la auto-reparación de la vivienda,¿Cumple los requisitos?,unica,sí,encuesta,2,no,No
